#{"t_start": 1786032094.7954583, "env_id": "rendezvous-v1"}
r,l,t
-17312.513597,13,21.199615
-17541.615064,13,21.461041
-20264.192406,11,21.469041
-18408.953323,13,21.691993
-24185.292056,6,21.695996
-19152.68636,12,21.704488
-14756.2967,17,21.925525
-16674.743053,15,21.936036
-21709.118721,9,22.146435
-15578.058026,16,22.156944
-18133.055517,13,22.369215
-13500.856841,18,22.380623
-19019.310551,13,22.606025
-17438.773108,14,22.61554
-16538.971667,15,22.830635
-11999.911494,21,22.845141
-22736.166506,8,23.057843
-21545.84165,9,23.063354
-12401.499914,21,23.283148
-12677.672711,19,23.295644
-13890.674016,18,23.54218
-18572.221161,13,23.552242
-14947.824727,18,23.806221
-19185.564512,12,23.813932
-17446.323723,14,24.031476
-19161.576707,12,24.039475
-17235.115182,14,24.313322
-18994.774953,12,24.321829
-16233.281584,15,24.331339
-22484.000796,8,24.541617
-19179.256014,12,24.549125
-11841.985385,20,24.771194
-9277.615641,24,24.99167
-20209.118805,11,24.99767
-15589.028209,16,25.00918
-20874.982999,10,25.22013
-21216.994988,10,25.227135
-17008.840607,15,25.44253
-3759.407281,30,25.661766
-12707.702154,18,25.674276
-16921.096722,15,25.886607
-18803.292837,13,25.895114
-17881.505786,13,26.11828
-2623.943529,29,26.337781
-21964.764878,9,26.343291
-17888.418812,14,26.352448
-19333.036391,12,26.573557
-16214.260651,15,26.583068
-21123.49377,10,26.795374
-17756.627628,14,26.804882
-19083.628929,12,26.812394
-22048.884724,9,27.029585
-20895.48244,10,27.036645
-19063.643463,12,27.044748
-18906.43344,12,27.274405
-20997.828378,10,27.280913
-18348.114762,13,27.496788
-21844.933936,9,27.503812
-20918.317603,10,27.510317
-10607.325161,23,27.730181
-20187.567045,11,27.737187
-21975.694522,9,27.95077
-15428.305234,16,27.961284
-23735.582635,7,27.966282
-14354.301129,17,28.187587
-17638.58767,13,28.196094
-17208.226881,14,28.409934
-22432.669285,8,28.415079
-14031.88522,18,28.649609
-7809.872836,26,28.897707
-14170.728326,18,28.910356
-20829.130632,10,29.122423
-12574.741993,20,29.135934
-16682.04596,15,29.351944
-20095.486481,11,29.359946
-20084.362069,11,29.578018
-19272.163063,12,29.585523
-12943.164327,18,29.803812
-16394.633723,15,29.814072
-13775.289673,18,30.040067
-19293.263275,12,30.048344
-20210.750951,11,30.055856
-10543.845136,22,30.286176
-19809.565271,11,30.293686
-20972.352521,10,30.501964
-19069.111775,12,30.509964
-20230.247747,11,30.731076
-21820.17406,9,30.738074
-16193.272243,15,30.747584
-19493.164552,12,30.964511
-13711.398572,18,30.977024
-11083.871653,23,31.197681
-20211.790468,11,31.404251
-20493.171328,11,31.412764
-21110.408091,10,31.418265
-4039.232594,29,31.643882
-16508.765939,16,31.858865
-15402.451611,16,31.870883
-20398.730448,11,32.083495
-16644.719715,15,32.094001
-22555.690441,8,32.099002
-10925.685539,23,32.317952
-19212.566286,12,32.533808
-19050.110456,12,32.542318
-8998.201198,23,32.764821
-20898.459476,10,32.771332
-18746.03826,12,32.779332
-17595.811896,14,33.001347
-19378.175828,12,33.009348
-18816.224645,12,33.226999
-18670.225633,12,33.235224
-7723.123248,26,33.483942
-16870.132085,15,33.494033
-13272.257381,18,33.716493
-14930.28947,18,33.934535
-12773.935905,19,33.947044
-15460.621763,17,34.16635
-20192.979989,11,34.174626
-21515.625457,9,34.385087
-13402.982208,18,34.397119
-21051.481401,10,34.403587
-19864.369031,11,34.613747
-18819.184406,12,34.621255
-19776.753154,11,34.836684
-16069.030223,15,34.846197
-21527.952851,9,34.852535
-17048.871734,15,35.071252
-16899.820629,14,35.08076
-7516.012201,25,35.30473
-18408.21287,12,35.518786
-22168.605898,9,35.524295
-18011.787324,13,35.533803
-18344.97181,12,35.742854
-20603.19839,10,35.748854
-17511.448663,14,35.972707
-18267.925215,13,35.982215
-17837.339729,14,35.992728
-20868.32163,10,36.212732
-19408.928973,12,36.22124
-14456.541976,17,36.450641
-16516.16432,15,36.46142
-18076.451457,13,36.685763
-6068.42059,26,36.916948
-14053.287362,18,36.929456
-21324.456617,9,36.936533
-20408.552171,10,37.152745
-3791.989772,28,37.381573
-18329.021385,13,37.390578
-21322.63747,9,37.397689
-20627.08966,10,37.615575
-13878.779397,18,37.627084
-19438.505783,12,37.843164
-21152.226443,10,37.850667
-12603.373999,20,38.068567
-21671.573521,9,38.075074
-8107.398959,24,38.304796
-22885.977511,8,38.313309
-15926.503552,15,38.548217
-21145.877096,10,38.555727
-16958.468855,15,38.566238
-18798.092804,13,38.78594
-8068.1085,24,39.017737
-8542.807883,23,39.036101
-8901.788958,24,39.280648
