#{"t_start": 1786032094.7954583, "env_id": "rendezvous-v1"}
r,l,t
-22466.062653,8,1.364622
-23354.117384,7,1.369137
-19861.732981,11,1.376137
-18391.984873,12,1.600242
-17667.290322,13,1.608753
-20844.390648,10,1.813524
-14862.791559,16,1.824033
-16589.069212,15,2.020879
-18791.180801,12,2.02839
-1364.154169,30,2.228631
-12014.76339,21,2.409942
-14275.586513,16,2.420454
-18544.470839,13,2.604673
-17847.620644,13,2.613178
-17150.52814,14,2.804197
-23085.881701,7,2.808484
-16693.232639,15,2.817988
-12117.624197,20,3.034699
-15605.43122,15,3.044208
-18541.407754,12,3.240815
-14760.112928,17,3.251329
-21732.65787,9,3.444129
-22619.718893,8,3.450636
-4100.430065,30,3.651155
-22041.636399,9,3.656183
-21670.533383,9,3.848015
-15793.366005,15,3.857528
-20401.887177,11,3.864536
-18158.661679,14,4.03731
-11990.323509,20,4.236217
-21718.87383,9,4.242294
-15796.693155,16,4.252804
-21606.815896,9,4.439477
-20984.181131,10,4.445479
-14507.130778,17,4.647561
-12194.7014,20,4.65964
-9223.528889,24,4.857605
-20559.654169,10,4.863609
-18237.760892,12,5.069289
-19446.199682,12,5.076293
-16964.887486,14,5.268599
-21332.80576,9,5.273601
-18228.208646,13,5.282109
-22064.291828,9,5.480583
-13819.20302,17,5.492604
-20525.93008,10,5.697788
-17255.280993,14,5.705793
-14454.102592,16,5.904538
-18922.92413,12,5.912608
-19057.135797,12,5.920666
-22694.019706,8,6.105496
-13399.754797,17,6.116001
-3120.805254,29,6.332964
-21510.335352,9,6.33847
-23299.944244,7,6.528878
-11750.407396,19,6.54039
-19789.277867,11,6.725636
-15850.764,16,6.736144
-21090.363243,10,6.930502
-21398.121819,9,6.936503
-21932.230607,9,6.942009
-13252.15676,19,7.149314
-15020.566161,17,7.158821
-17415.969135,14,7.386654
-17314.157634,13,7.395162
-11792.578795,20,7.580906
-7355.973287,24,7.775316
-18211.661881,13,7.783906
-17807.432864,13,7.969972
-14565.618653,17,7.980478
-6614.901243,26,8.170288
-14451.223702,17,8.34934
-14101.733202,18,8.360851
-21737.641555,9,8.542871
-15288.758282,16,8.552387
-21515.908454,9,8.558897
-19457.335353,12,8.73437
-22955.257647,8,8.739877
-18302.940816,13,8.747878
-21445.015882,9,8.946079
